Accession ID,Status,Host,DOI,host_split
GU118644,Probable,Montastraea faveolata (coral),"[Sunagawa et al., 2010]",Montastraea faveolata
GU118168,Probable,Diploria strigosa (coral),"[Sunagawa et al., 2010]",Diploria strigosa 
GU118379,Probable,Gorgonia ventalina (coral),"[Sunagawa et al., 2010]",Gorgonia ventalina 
GU118072,Probable,Acropora palmata (coral),"[Sunagawa et al., 2010]",Acropora palmata 
GU118404,Probable,Gorgonia ventalina (coral),"[Sunagawa et al., 2010]",Gorgonia ventalina 
GU118957,Probable,Porites astreoides (coral),"[Sunagawa et al., 2010]",Porites astreoides 
GU784983,Probable,Lanthella basta (sponge),"[Luter et al., 2010]",Lanthella basta 
GU118966,Probable,Porites astreoides (coral),"[Sunagawa et al., 2010]",Porites astreoides 
AB695088,Probable,Haplosclerida gen. et sp. (purple sponge),"[Nishijima et al., 2013]",Haplosclerida gen. et sp. 
AM259915,Probable,Chondrilla nucula (sponge),"[Thiel et al., 2007]",Chondrilla nucula 
DQ884169,Probable (Uncultured Gammaproteobacteria),Cystodytes dellechiajei (tunicate),"[Martinez-Garcia et al., 2006]",Cystodytes dellechiajei 
DQ884170,Probable (Gammaproteobacteria),Cystodytes dellechiajei (tunicate),"[Martinez-Garcia et al., 2006]",Cystodytes dellechiajei 
DQ884160,Probable (Uncultured Gammaproteobacteria),Cystodytes dellechiajei (tunicate),"[Martinez-Garcia et al., 2006]",Cystodytes dellechiajei 
AY700600,Probable,Pocillopora damicornis (coral),"[Bourne and Munn, 2005]",Pocillopora damicornis 
AY700601,Probable,Pocillopora damicornis (coral),"[Bourne and Munn, 2005]",Pocillopora damicornis 
FJ202634,"Probable, (uncultured bacterium)",Montastraea faveolata (coral),"[Sunagawa et al., 2009]",Montastraea faveolata 
FJ347758,Probable,Montipora aequituberculata (coral),"[Yang et al., 2010]",Montipora aequituberculata 
FJ930289,"Probable, (Uncultured bacterium)",Porites compressa (coral),"[Speck and Donachie, 2012]",Porites compressa 
AB196667,"Probable, not included",Elysia ornata (sea slug),"[Kurahashi and Yokota, 2007]",Elysia ornata 
FM162182,"Probable, not included",Bathymodiolus brooksi (mussels),"[Zielinski et al., 2009]",Bathymodiolus brooksi 
AB695089,Probable,Haplosclerida gen. et sp. (purple sponge),"[Nishijima et al., 2013]",Haplosclerida gen. et sp. 
KX611231,Probable,Haliclona sp.,10.1016/j.syapm.2017.11.004,Haliclona sp.
HE818343,Probable,Irciniidae sp.,10.1111/1574-6941.12140,Irciniidae sp.
KY798517,Unlikely,Haliclona sp.,10.1016/j.syapm.2017.11.004,Haliclona sp.
FM162188.1,Unlikely,Bathymodiolus puteoserpentis,10.1111/j.1462-2920.2008.01847.x,Bathymodiolus puteoserpentis
FM244838.1,Unlikely,Bathymodiolus childressi,10.1111/j.1462-2920.2008.01847.x,Bathymodiolus childressi
FM162184.1,Unlikely,Bathymodiolus brooksi,10.1111/j.1462-2920.2008.01847.x,Bathymodiolus brooksi
FM162185.1,Unlikely,Bathymodiolus heckerae,10.1111/j.1462-2920.2008.01847.x,Bathymodiolus heckerae
EU797579.3,Unlikely,Alitta succinea,10.1099/ijsem.0.003137,Alitta succinea
GU569894.1,Unlikely,Stylophora pistillata,10.1099/ijs.0.043208-0,Stylophora pistillata
GU183820.1,Unlikely,Mussismilia hispida,10.1099/ijs.0.021105-0,Mussismilia hispida
KJ372479.1,Probable,,,0
AB695088,Probable,,,0
AB196667,Probable,,,0
